,,,,,
bamboo_god_2_look_3,It's the pandas' god! I'm so honored to see it. I must carefully choose the bamboo I'll offer him.,player,"scenes/second_scene/bamboo_god_2.esc:22, ",,C'est l'esprit du Grand Panda ! Je suis si honorée de le rencontrer. Je dois faire très attentions et choisir le bon bambou pour le lui offrir.
,,,,,
##,pick_up,,,,
,,,,,
bamboo_god_2_pick_up_4,I don't think he will fit in my bag...,player,"scenes/second_scene/bamboo_god_2.esc:25, ",,Je ne pense pas qu'il rentrera dans mon sac…
,,,,,
##,talk,,,,
,,,,,
bamboo_god_2_talk_5,How do you like your bamboos?,player,"scenes/second_scene/bamboo_god_2.esc:28, ",,Comment aimes-tu tes bambous ?
bamboo_god_2_talk_6,Tasty.,bamboo_god_2,"scenes/second_scene/bamboo_god_2.esc:29, ",,Délicieux.
chameleon_talk_6,...,player,"scenes/second_scene/chameleon.esc:13, scenes/second_scene/bamboo_god_2.esc:30, ",,…
bamboo_god_2_talk_8,And local!,bamboo_god_2,"scenes/second_scene/bamboo_god_2.esc:31, ",,et local !
,,,,,
#,bad_bamboo_2,,,,
##,pick_up,,,,
,,,,,
bad_bamboo_2_pick_up_1,I took it off without difficulty.,player,"scenes/second_scene/bad_bamboo_2.esc:2, ",,Je l'ai pris sans difficulté.
,,,,,
##,look,,,,
,,,,,
bad_bamboo_2_look_2,This bamboo it's perfect! Maybe a little too much...,player,"scenes/second_scene/bad_bamboo_2.esc:10, ",,"Ce bambou est parfait ! Quoique, peut être un peu trop…."
,,,,,
##,talk,,,,
,,,,,
bad_bamboo_2_talk_3,All your leaves have the same size.,player,"scenes/second_scene/bad_bamboo_2.esc:13, ",,Toutes les feuilles ont la même taille.
,,,,,
#,can,,,,
##,pick_up,,,,
,,,,,
,,,,,
##,look,,,,
,,,,,
can_look_1,A can,player,"scenes/test/can.esc:9, ",,
,,,,,
#,ice_cream,,,,
##,pick_up,,,,
,,,,,
,,,,,
##,look,,,,
,,,,,
ice_cream_look_1,A strawberry ice cream cone,player,"scenes/test/ice_cream.esc:10, ",,
ice_cream_look_2,res://scenes/test/dog_splash_theme.ogg,set_state,"scenes/test/ice_cream.esc:12, ",,
,,,,,
#,chainsaw,,,,
##,pick_up,,,,
,,,,,
,,,,,
##,look,,,,
,,,,,
chainsaw_look_1,A chainsaw,player,"scenes/test/chainsaw.esc:9, ",,
,,,,,
#,box,,,,
##,look,,,,
,,,,,
box_look_1,An old newspaper,player,"scenes/test/box.esc:4, ",,
box_look_2,It's a box,player,"scenes/test/box.esc:7, ",,
,,,,,
##,pick_up,,,,
,,,,,
box_pick_up_3,It's too heavy!,player,"scenes/test/box.esc:16, ",,
,,,,,
##,open,,,,
,,,,,
box_open_4,It's already open,player,"scenes/test/box.esc:21, ",,
box_open_5,There was a newspaper inside it,player,"scenes/test/box.esc:26, ",,
,,,,,
#,bad_bamboo,,,,
##,pick_up,,,,
,,,,,
bad_bamboo_pick_up_1,Weird texture for a bamboo…,bad_bamboo,"scenes/intro-game/bad_bamboo.esc:2, ",,
,,,,,
##,look,,,,
,,,,,
bad_bamboo_look_2,This bamboo look so shiny and slick.,bad_bamboo,"scenes/intro-game/bad_bamboo.esc:9, ",,
,,,,,
##,talk,,,,
,,,,,
bad_bamboo_talk_3,"Hello bamboo, where do you come from?",bad_bamboo,"scenes/intro-game/bad_bamboo.esc:12, ",,
,,,,,
#,good_bamboo,,,,
##,pick_up,,,,
,,,,,
good_bamboo_pick_up_1,It smell so good.,good_bamboo,"scenes/intro-game/good_bamboo.esc:2, ",,
,,,,,
##,look,,,,
,,,,,
good_bamboo_look_2,I like to eat bamboo sticks.,good_bamboo,"scenes/intro-game/good_bamboo.esc:10, ",,
,,,,,
##,talk,,,,
,,,,,
good_bamboo_talk_3,It don't think it will answer me...,good_bamboo,"scenes/intro-game/good_bamboo.esc:13, ",,
,,,,,
#,old_man,,,,
##,talk,,,,
,,,,,
old_man_talk_1,"Hello young panda, today is time for your first offering to the almighty panda god! I have prepared a bamboo stick for you, pick it up and bring it to me.",old_man,"scenes/intro-game/old_man.esc:4, ",,
old_man_talk_2,Player was introduced,debug,"scenes/intro-game/old_man.esc:6, ",,
old_man_talk_3,Now searching for the bamboo,debug,"scenes/intro-game/old_man.esc:6, ",,
old_man_talk_4,Please go get the bamboo stick and come back to me.,old_man,"scenes/intro-game/old_man.esc:9, ",,
,,,,,
##,use,,,,
,,,,,
old_man_use_5,"Good! You're qualified for the job! Now go to the forest and get some more bamboo. Be sure to offer them to our almighty panda god, it will give him strength to protect our land.",old_man,"scenes/intro-game/old_man.esc:13, ",,
old_man_use_6,res://scenes/second_scene/scene.scn,change_scene,"scenes/intro-game/old_man.esc:15, ",,
,,,,,
##,use,,,,
,,,,,
old_man_use_7,"Oh no, another perverted young panda… This bamboo is made by humans, little one, not by Mother Earth! Plastic taste. Not good… Now go and give me a true bamboo!",old_man,"scenes/intro-game/old_man.esc:20, ",,
,,,,,
##,look,,,,
,,,,,
old_man_look_8,The master know how to please the pandas' god. I need to listen.,good_bamboo,"scenes/intro-game/old_man.esc:25, ",,
,,,,,
##,pick_up,,,,
,,,,,
old_man_pick_up_9,He will surely not appreciate it.,good_bamboo,"scenes/intro-game/old_man.esc:28, ",,
,,,,,
#,quick_save,,,,
##,load,,,,
