,en,fr
bamboo_god_2_use_1,"Thank you for your kind offering young panda, you shall receive my blessings. I promess to protect you from the humans now and fo the rest of your days!","Merci pour ce présent jeune panda, reçois ma bénédiction. Je te protègerai toute ta vie durant contre les humains."
bamboo_god_2_use_2,What is the meaning of this! [i]“Made in China”?![/i] Be wary of my wrath as I shall curse you and all your lineage!,Quoi ? [i]Made in China[/i] ? Méfies-toi de ma colère sinon je jette ma malédiction sur toi et tous tes futurs descendants !
bamboo_god_2_look_3,It's the pandas' god! I'm so honored to see it. I must carefully choose the bamboo I'll offer him.,C'est l'esprit du Grand Panda ! Je suis si honorée de le rencontrer. Je dois faire très attentions et choisir le bon bambou pour le lui offrir.
bamboo_god_2_pick_up_4,I don't think he will fit in my bag...,Je ne pense pas qu'il rentrera dans mon sac…
bamboo_god_2_talk_5,How do you like your bamboos?,Comment aimes-tu tes bambous ?
bamboo_god_2_talk_6,Tasty.,Délicieux.
chameleon_talk_6,...,…
bamboo_god_2_talk_8,And local!,et local !
bad_bamboo_2_pick_up_1,I took it off without difficulty.,Je l'ai pris sans difficulté.
bad_bamboo_2_look_2,This bamboo it's perfect! Maybe a little too much...,"Ce bambou est parfait ! Quoique, peut être un peu trop…."
bad_bamboo_2_talk_3,All your leaves have the same size.,Toutes les feuilles ont la même taille.
can_look_1,A can,Une cannette
ice_cream_look_1,A strawberry ice cream cone,Une glace à la fraise
ice_cream_look_2,res://scenes/test/dog_splash_theme.ogg,
chainsaw_look_1,A chainsaw,
box_look_1,An old newspaper,Un vieux journal
box_look_2,It's a box,C'est une boîte
box_pick_up_3,It's too heavy!,C'est bien trop lourd !
box_open_4,It's already open,C'est déjà ouvert.
box_open_5,There was a newspaper inside it,Il y a un journal dedans
bad_bamboo_pick_up_1,Weird texture for a bamboo…,La texture de ce bambou est étrange…
bad_bamboo_look_2,This bamboo look so shiny and slick.,Ce bambou à l'air si brillant et si lisse.
bad_bamboo_talk_3,"Hello bamboo, where do you come from?","Bonjour bambou, tu viens d'où ?"
good_bamboo_pick_up_1,It smell so good.,Mmm… cela sent bon !
good_bamboo_look_2,I like to eat bamboo sticks.,J'aime manguer du bambou.
good_bamboo_talk_3,It don't think it will answer me...,Je ne pense pas qu'il me répondreras…
old_man_talk_1,"Hello young panda, today is time for your first offering to the almighty panda god! I have prepared a bamboo stick for you, pick it up and bring it to me.","Bonjour jeune Panda, aujourd'hui tu va réaliser ta première offrande à l'Esprit du Panda. J'ai préparé un bambou, va le récupérer et reviens me voir"
old_man_talk_2,Player was introduced,Le joueur est introduit
old_man_talk_3,Now searching for the bamboo,Chercher maintenant le bambou
old_man_talk_4,Please go get the bamboo stick and come back to me.,"Va chercher le bambou et reviens vers moi, s'il-te-plaît."
old_man_use_5,"Good! You're qualified for the job! Now go to the forest and get some more bamboo. Be sure to offer them to our almighty panda god, it will give him strength to protect our land.",Bien ! Tu es embauché pour le nouveau travail ! Maintenant va dans la forêt et prend des bambous. Assure-toi de les offrir à l'Esprit du Panda et il t'offrira sa protection en retour pour toi et ton pays.
old_man_use_6,res://scenes/second_scene/scene.scn,
old_man_use_7,"Oh no, another perverted young panda… This bamboo is made by humans, little one, not by Mother Earth! Plastic taste. Not good… Now go and give me a true bamboo!","Oh non, encore un jeune panda perverti"
old_man_look_8,The master know how to please the pandas' god. I need to listen.,Le maître sais comment faire plaisir à l'Esprit du grand Panda. Je dois écouter ses conseils.
old_man_pick_up_9,He will surely not appreciate it.,Il n'apprécierai sûrement pas.
